year;india;china;japan;s_korea;taiwan;malaysia;philipina;thailan;hongkong;spain;others;total
2012;94681.9;81528.9;35068.2;37899.1;28692.4;16034.5;11621.1;14676.0;11789.5;5704.8;9808.1;347504.5
2013;116823.5;89777.8;37711.5;36149.6;27947.2;17120.6;14508.8;14258.0;12875.6;4078.0;10133.6;381384.2
2014;134451.8;49782.0;35579.3;35574.1;27018.3;14452.5;15021.3;16196.1;12513.5;4071.5;11642.4;356302.8
2015;123841.9;36684.5;32503.5;33037.3;24088.1;16567.5;15811.3;17729.5;9414.7;4826.5;13882.6;328387.4
2016;95110.5;50961.1;33037.8;34943.2;20289.5;17272.4;17503.4;16439.0;9423.9;4944.0;11405.0;311329.8
2017;98553.5;48167.4;31421.4;38075.1;18187.7;21189.9;18977.9;16374.7;8449.8;3232.2;16468.8;319098.4
2018;110378.2;48135.7;28722.9;37150.9;17935.1;22045.4;22595.0;19964.1;9028.4;2463.9;24704.7;343124.3
2019;121692.5;65670.5;28436.4;29550.0;19061.2;25323.5;27450.8;17600.4;7876.8;684.6;31589.1;374935.8
2020;98243.3;62492.5;26965.1;24831.9;17603.0;26706.8;28060.9;16624.8;3863.5;0.0;36155.8;341547.6
2021;70779.2;108487.2;22978.4;21011.2;16291.6;25497.2;30085.8;15150.7;5269.9;77.2;29824.8;345453.2
