year,coal,bauxite,gold,iron_sand,tin_concentrate,copper_concentrate
1996,50332047.0,841976.0,83564.0,425101.0,52304.0,1758910.0
1997,55982040.0,808749.0,86928.0,516403.0,54521.0,1817880.0
1998,58504660.0,1055647.0,123862.0,509978.0,53960.0,2640040.0
1999,62108239.0,1116323.0,127768.0,502198.0,49708.0,2645180.0
2000,67105675.0,1150776.0,109612.0,420418.0,56360.0,3270335.0
2001,71072961.0,1237006.0,148528.0,440648.0,69494.0,2418110.0
2002,105539301.0,1283485.0,140246.0,190946.0,88142.0,2851190.0
2003,113525813.0,1262705.0,138475.0,245911.0,74316.0,3238306.0
2004,128479707.0,1331519.0,86855.0,79635.0,73080.0,2812664.0
2005,149665233.0,1441899.0,142894.0,87940.0,78404.0,3553808.0
2006,162294657.0,2117630.0,138992.0,84954.0,79100.0,817796.0
2007,188663068.0,1251147.0,117854.0,84371.0,64127.0,796899.0
2008,178930188.0,1152322.0,64390.0,4455259.0,79210.0,655046.0
2009,228806887.0,935211.0,140488.0,4561059.0,56602.0,973347.0
2010,325325793.0,2200000.0,119726.0,8975507.0,97796.0,993152.0
2011,415765068.0,24714940.0,68220.0,11814544.0,89600.0,1472238.0
2012,466307241.0,5530080.0,69291.0,11545752.0,44202.0,2265865.0
2013,458462513.0,5530080.0,59804.0,22353337.0,59412.0,1909548.0
2014,435742874.0,2539274.0,69349.0,5951400.0,51801.0,1571596.0
2015,405871432.0,5530080.0,92339.0,3838546.0,93180.0,2282831.0
2016,433479326.5,5530080.0,96426.5,2897236.0,82355.5,2268146.0
2017,461087221.0,1294236.0,100514.0,1955926.0,71531.0,2253461.0
2018,557983706.0,5693640.0,132734.0,6988688.0,82809.0,2309262.0
2019,616154054.0,16592187.0,108977.0,2507786.0,86947.0,1697725.0
2020,565640928.0,25859895.0,65890.0,3809731.0,65127.0,2273456.0
2021,614058577.0,25781187.0,78996.0,3809731.0,52467.0,3377023.0
